,,,
Description,Position/ Level,Quantity,Unit
"Existing Site, Buildings, Services",1,,
C11: GROUND INVESTIGATION,1,,
Machine excavation of trial holes,1,,
"Excavate trial holes; backfill with excavated material, compacted in 250mm layers; maximum depth not exceeding",1,,
0.25m,1,1,m3
0.25m,1,1,m3
0.25m,1,1,m3
1.00m,2,1,m3
1.00m,2,1,m3
1.00m,2,1,m3
2.00m,3,1,m3
2.00m,3,1,m3
2.00m,3,1,m3
4.00m,4,1,m3
4.00m,4,1,m3
4.00m,4,1,m3
6.00m,5,1,m3
6.00m,5,1,m3
6.00m,5,1,m3
Hand excavation of trial holes,2,,
"Excavate trial holes; backfill with excavated material, compacted in 250mm layers; maximum depth not exceeding",1,,
0.25m,1,1,m3
0.25m,1,1,m3
1.00m,2,1,m3
1.00m,2,1,m3
2.00m,3,1,m3
2.00m,3,1,m3
4.00m,4,1,m3
4.00m,4,1,m3
6.00m,5,1,m3
6.00m,5,1,m3
"Extra over trial hole excavation and filling for removal of excavated material from site, filling with imported materials; by machine",3,,
Filling with,1,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
"Extra over trial hole excavation and filling for removal of excavated material from site; placing debris in rubbish skips and filling with imported materials; by hand, including disposal",4,,
Filling with,1,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
C20: DEMOLITION,2,,
Demolition of concrete structural elements,1,,
Reinforced concrete walls and attached columns,1,,
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
Reinforced concrete ground slabs,2,,
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
Reinforced concrete suspended slab and attached beams,3,,
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
150 - 300mm thick,2,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
over 300mm thick,3,1,m3
Reinforced concrete isolated beams,4,,
not exceeding 0.10m2 sectional area,1,1,m3
not exceeding 0.10m2 sectional area,1,1,m3
not exceeding 0.10m2 sectional area,1,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
over 0.25m2 sectional area,3,1,m3
over 0.25m2 sectional area,3,1,m3
over 0.25m2 sectional area,3,1,m3
Reinforced concrete isolated columns,5,,
not exceeding 0.10m2 sectional area,1,1,m3
not exceeding 0.10m2 sectional area,1,1,m3
not exceeding 0.10m2 sectional area,1,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
0.10 - 0.25m2 sectional area,2,1,m3
over 0.25m2 sectional area,3,1,m3
over 0.25m2 sectional area,3,1,m3
over 0.25m2 sectional area,3,1,m3
Demolition of masonry structural elements,2,,
Brick walls,1,,
half brick thick,1,1,m2
half brick thick,1,1,m2
one brick thick,2,1,m2
one brick thick,2,1,m2
one and a half brick thick,3,1,m2
one and a half brick thick,3,1,m2
two brick thick,4,1,m2
two brick thick,4,1,m2
Block walls,2,,
50mm thick,1,1,m2
50mm thick,1,1,m2
75mm thick,2,1,m2
75mm thick,2,1,m2
100mm thick,3,1,m2
100mm thick,3,1,m2
125mm thick,4,1,m2
125mm thick,4,1,m2
150mm thick,5,1,m2
